# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-10-07 21:51:43 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05428500 YAHARA RIVER AT EAST MAIN STREET AT MADISON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05428500
#            TS   parameter     statistic     Description
#        155053       00065     00001     Gage height, feet (Maximum)
#        155054       00065     00002     Gage height, feet (Minimum)
#        155055       00065     00003     Gage height, feet (Mean)
#        155056       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	155056_00060_00003	155056_00060_00003_cd
USGS	05428500	2023-05-05	271	P
USGS	05428500	2023-05-06	233	P
USGS	05428500	2023-05-07	239	P
USGS	05428500	2023-05-08	246	P
USGS	05428500	2023-05-09	230	P
USGS	05428500	2023-05-10	193	P
USGS	05428500	2023-05-11	150	P
USGS	05428500	2023-05-12	149	P
USGS	05428500	2023-05-13	149	P
USGS	05428500	2023-05-14	155	P
USGS	05428500	2023-05-15	157	P
USGS	05428500	2023-05-16	162	P
USGS	05428500	2023-05-17	126	P
USGS	05428500	2023-05-18	98.0	P
USGS	05428500	2023-05-19	77.8	P
USGS	05428500	2023-05-20	85.9	P
USGS	05428500	2023-05-21	88.9	P
USGS	05428500	2023-05-22	83.9	P
USGS	05428500	2023-05-23	64.0	P
USGS	05428500	2023-05-24	44.1	P
USGS	05428500	2023-05-25	47.0	P
USGS	05428500	2023-05-26	40.6	P
USGS	05428500	2023-05-27	42.4	P
USGS	05428500	2023-05-28	41.6	P
USGS	05428500	2023-05-29	39.9	P
USGS	05428500	2023-05-30	30.1	P
USGS	05428500	2023-05-31	17.3	P
USGS	05428500	2023-06-01	15.8	P
USGS	05428500	2023-06-02	19.7	P
USGS	05428500	2023-06-03	21.3	P
USGS	05428500	2023-06-04	22.5	P
USGS	05428500	2023-06-05	14.7	P
USGS	05428500	2023-06-06	16.6	P
USGS	05428500	2023-06-07	16.8	P
USGS	05428500	2023-06-08	17.1	P
USGS	05428500	2023-06-09	18.0	P
USGS	05428500	2023-06-10	19.2	P
USGS	05428500	2023-06-11	16.8	P
USGS	05428500	2023-06-12	15.7	P
USGS	05428500	2023-06-13	14.9	P
USGS	05428500	2023-06-14	12.0	P
USGS	05428500	2023-06-15	13.3	P
USGS	05428500	2023-06-16	15.4	P
USGS	05428500	2023-06-17	19.0	P
USGS	05428500	2023-06-18	20.6	P
USGS	05428500	2023-06-19	18.4	P
USGS	05428500	2023-06-20	16.3	P
USGS	05428500	2023-06-21	16.9	P
USGS	05428500	2023-06-22	15.9	P
USGS	05428500	2023-06-23	16.5	P
USGS	05428500	2023-06-24	20.6	P
USGS	05428500	2023-06-25	22.8	P
USGS	05428500	2023-06-26	29.8	P
USGS	05428500	2023-06-27	26.0	P
USGS	05428500	2023-06-28	28.8	P
USGS	05428500	2023-06-29	26.0	P
USGS	05428500	2023-06-30	31.1	P
USGS	05428500	2023-07-01	37.9	P
USGS	05428500	2023-07-02	46.7	P
USGS	05428500	2023-07-03	51.2	P
USGS	05428500	2023-07-04	56.9	P
USGS	05428500	2023-07-05	50.2	P
USGS	05428500	2023-07-06	51.3	P
USGS	05428500	2023-07-07	51.2	P
USGS	05428500	2023-07-08	30.8	P
USGS	05428500	2023-07-09	29.0	P
USGS	05428500	2023-07-10	21.3	P
USGS	05428500	2023-07-11	20.6	P
USGS	05428500	2023-07-12	40.6	P
USGS	05428500	2023-07-13	33.9	P
USGS	05428500	2023-07-14	28.2	P
USGS	05428500	2023-07-15	29.6	P
USGS	05428500	2023-07-16	32.0	P
USGS	05428500	2023-07-17	37.4	P
USGS	05428500	2023-07-18	50.9	P
USGS	05428500	2023-07-19	56.4	P:e
USGS	05428500	2023-07-20	53.2	P:e
USGS	05428500	2023-07-21	61.0	P
USGS	05428500	2023-07-22	69.7	P
USGS	05428500	2023-07-23	67.7	P
USGS	05428500	2023-07-24	57.2	P
USGS	05428500	2023-07-25	59.7	P
USGS	05428500	2023-07-26	59.2	P
USGS	05428500	2023-07-27	54.2	P
USGS	05428500	2023-07-28	76.5	P
USGS	05428500	2023-07-29	78.9	P
USGS	05428500	2023-07-30	71.8	P
USGS	05428500	2023-07-31	99.2	P
USGS	05428500	2023-08-01	121	P
USGS	05428500	2023-08-02	121	P
USGS	05428500	2023-08-03	122	P
USGS	05428500	2023-08-04	167	P
USGS	05428500	2023-08-05	199	P
USGS	05428500	2023-08-06	193	P
USGS	05428500	2023-08-07	185	P
USGS	05428500	2023-08-08	182	P
USGS	05428500	2023-08-09	178	P
USGS	05428500	2023-08-10	178	P
USGS	05428500	2023-08-11	142	P
USGS	05428500	2023-08-12	95.7	P
USGS	05428500	2023-08-13	85.9	P
USGS	05428500	2023-08-14	117	P
USGS	05428500	2023-08-15	88.0	P
USGS	05428500	2023-08-16	88.2	P
USGS	05428500	2023-08-17	133	P
USGS	05428500	2023-08-18	155	P
USGS	05428500	2023-08-19	151	P
USGS	05428500	2023-08-20	142	P
USGS	05428500	2023-08-21	130	P
USGS	05428500	2023-08-22	130	P
USGS	05428500	2023-08-23	130	P
USGS	05428500	2023-08-24	131	P
USGS	05428500	2023-08-25	129	P
USGS	05428500	2023-08-26	122	P
USGS	05428500	2023-08-27	121	P
USGS	05428500	2023-08-28	103	P
USGS	05428500	2023-08-29	95.5	P
USGS	05428500	2023-08-30	97.5	P
USGS	05428500	2023-08-31	104	P
USGS	05428500	2023-09-01	110	P
USGS	05428500	2023-09-02	110	P
USGS	05428500	2023-09-03	112	P
USGS	05428500	2023-09-04	114	P
USGS	05428500	2023-09-05	92.8	P
USGS	05428500	2023-09-06	70.7	P
USGS	05428500	2023-09-07	67.4	P
USGS	05428500	2023-09-08	67.4	P
USGS	05428500	2023-09-09	67.9	P
USGS	05428500	2023-09-10	67.1	P
USGS	05428500	2023-09-11	66.4	P
USGS	05428500	2023-09-12	65.0	P
USGS	05428500	2023-09-13	63.0	P
USGS	05428500	2023-09-14	61.0	P
USGS	05428500	2023-09-15	52.9	P
USGS	05428500	2023-09-16	51.2	P
USGS	05428500	2023-09-17	48.1	P
USGS	05428500	2023-09-18	46.1	P
USGS	05428500	2023-09-19	46.5	P
USGS	05428500	2023-09-20	41.2	P
USGS	05428500	2023-09-21	41.2	P
USGS	05428500	2023-09-22	43.4	P
USGS	05428500	2023-09-23	44.1	P
USGS	05428500	2023-09-24	44.2	P
USGS	05428500	2023-09-25	42.7	P
USGS	05428500	2023-09-26	55.2	P
USGS	05428500	2023-09-27	43.1	P
USGS	05428500	2023-09-28	37.5	P
USGS	05428500	2023-09-29	40.1	P
USGS	05428500	2023-09-30	44.0	P
USGS	05428500	2023-10-01	44.7	P
USGS	05428500	2023-10-02	41.4	P
USGS	05428500	2023-10-03	41.6	P
USGS	05428500	2023-10-04	36.8	P
USGS	05428500	2023-10-05	34.9	P
USGS	05428500	2023-10-06	37.1	P
USGS	05428500	2023-10-07	35.5	P
USGS	05428500	2023-10-08	33.3	P
USGS	05428500	2023-10-09	34.2	P
USGS	05428500	2023-10-10	31.7	P
USGS	05428500	2023-10-11	33.6	P
USGS	05428500	2023-10-12	40.5	P
USGS	05428500	2023-10-13	48.3	P
USGS	05428500	2023-10-14	51.0	P
USGS	05428500	2023-10-15	43.3	P
USGS	05428500	2023-10-16	43.9	P
USGS	05428500	2023-10-17	57.5	P
USGS	05428500	2023-10-18	97.2	P
USGS	05428500	2023-10-19	114	P
USGS	05428500	2023-10-20	134	P
USGS	05428500	2023-10-21	145	P
USGS	05428500	2023-10-22	140	P
USGS	05428500	2023-10-23	148	P
USGS	05428500	2023-10-24	144	P
USGS	05428500	2023-10-25	143	P
USGS	05428500	2023-10-26	156	P
USGS	05428500	2023-10-27	146	P
USGS	05428500	2023-10-28	147	P
USGS	05428500	2023-10-29	141	P
USGS	05428500	2023-10-30	161	P
USGS	05428500	2023-10-31	171	P
USGS	05428500	2023-11-01	165	P
USGS	05428500	2023-11-02	161	P
USGS	05428500	2023-11-03	161	P
USGS	05428500	2023-11-04	157	P
USGS	05428500	2023-11-05	154	P
USGS	05428500	2023-11-06	162	P
USGS	05428500	2023-11-07	201	P
USGS	05428500	2023-11-08	228	P
USGS	05428500	2023-11-09	230	P
USGS	05428500	2023-11-10	228	P
USGS	05428500	2023-11-11	216	P
USGS	05428500	2023-11-12	218	P
USGS	05428500	2023-11-13	220	P
USGS	05428500	2023-11-14	208	P
USGS	05428500	2023-11-15	204	P
USGS	05428500	2023-11-16	215	P
USGS	05428500	2023-11-17	220	P
USGS	05428500	2023-11-18	214	P
USGS	05428500	2023-11-19	219	P
USGS	05428500	2023-11-20	213	P
USGS	05428500	2023-11-21	240	P
USGS	05428500	2023-11-22	222	P
USGS	05428500	2023-11-23	227	P
USGS	05428500	2023-11-24	223	P
USGS	05428500	2023-11-25	222	P
USGS	05428500	2023-11-26	244	P
USGS	05428500	2023-11-27	245	P
USGS	05428500	2023-11-28	240	P
USGS	05428500	2023-11-29	236	P
USGS	05428500	2023-11-30	230	P
USGS	05428500	2023-12-01	234	P
USGS	05428500	2023-12-02	228	P
USGS	05428500	2023-12-03	244	P
USGS	05428500	2023-12-04	232	P
USGS	05428500	2023-12-05	237	P
USGS	05428500	2023-12-06	238	P
USGS	05428500	2023-12-07	227	P
USGS	05428500	2023-12-08	225	P
USGS	05428500	2023-12-09	250	P
USGS	05428500	2023-12-10	249	P
USGS	05428500	2023-12-11	235	P:e
USGS	05428500	2023-12-12	243	P:e
USGS	05428500	2023-12-13	236	P
USGS	05428500	2023-12-14	233	P
USGS	05428500	2023-12-15	231	P
USGS	05428500	2023-12-16	229	P
USGS	05428500	2023-12-17	236	P
USGS	05428500	2023-12-18	251	P
USGS	05428500	2023-12-19	237	P
USGS	05428500	2023-12-20	227	P
USGS	05428500	2023-12-21	218	P
USGS	05428500	2023-12-22	222	P
USGS	05428500	2023-12-23	221	P
USGS	05428500	2023-12-24	220	P
USGS	05428500	2023-12-25	232	P
USGS	05428500	2023-12-26	236	P
USGS	05428500	2023-12-27	185	P
USGS	05428500	2023-12-28	171	P
USGS	05428500	2023-12-29	158	P
USGS	05428500	2023-12-30	157	P
USGS	05428500	2023-12-31	165	P
